"sous_groupe";"id_aliment";"nom";"calories_kcal_100g";"proteines_g_100g";"glucides_g_100g";"lipides_g_100g";"sucres_g_100g";"ag_satures_g_100g";"fibres_g_100g";"sel_g_100g";"sodium_mg_100g";"calcium_mg_100g";"fer_mg_100g";"magnesium_mg_100g";"potassium_mg_100g";"zinc_mg_100g";"vitamine_d_µg_100g";"vitamine_e_mg_100g";"vitamine_b1_mg_100g";"vitamine_b2_mg_100g";"vitamine_b3_mg_100g";"vitamine_b5_mg_100g";"vitamine_b12_µg_100g";"eau_g_100g"
"herbes";"11036";"Romarin, séché";"328";"4.88";"21.5";"15.2";"0";"7.37";"42.6";"0.13";"50";"1280";"29.3";"220";"955";"3.23";"0";"0";"0.51";"0.43";"1";"0";"0";"9.31"
"herbes";"11037";"Sauge, séchée";"320";"10.6";"20.4";"12.8";"1.71";"7.03";"40.3";"0.028";"11";"1650";"28.1";"428";"1070";"4.7";"0";"0";"0.75";"0.34";"5.72";"0";"0";"7.96"
"herbes";"11038";"Thym, séché";"285";"9.11";"26.9";"7.43";"1.71";"2.73";"37";"0.14";"55";"1890";"124";"220";"814";"6.18";"0";"0";"0.51";"0.4";"4.94";"0";"0";"7.79"
"épices";"11039";"Safran";"352";"11.4";"61.5";"5.85";"42.4";"1.59";"3.9";"0.37";"148";"111";"11.1";"264";"1720";"1.09";"0";"1.69";"0.12";"0.27";"1.46";"0";"0";"11.9"
"condiments";"11040";"Câpres, au vinaigre";"0";"2.18";"3.5";"0.86";"0.41";"0.23";"3.6";"4.06";"1620";"40";"1.67";"33";"40";"0.32";"0";"0";"0.018";"0.14";"0.65";"0.027";"0";"83.9"
"aides culinaires";"11041";"Bouillon de légumes, déshydraté";"287";"9.66";"26";"16";"0";"7.79";"0.5";"47.7";"19100";"51.1";"1";"27";"557";"0.8";"13.8";"2.77";"3.69";"0.64";"4.94";"0.93";"0.1";"1.65"
"épices";"11042";"Cumin, graine";"427";"17.8";"33.7";"22.3";"2.25";"1.54";"10.5";"0.42";"168";"931";"66.4";"366";"1790";"4.8";"0";"0";"0.63";"0.33";"4.58";"0";"0";"8.06"
"aides culinaires";"11043";"Tapenade, préemballée";"229";"1.93";"3.29";"21.9";"0.51";"5.44";"5.26";"2.98";"1280";"63";"4.3";"20";"258";"0.4";"0";"4.49";"0";"0.09";"1.1";"0.02";"0";"62.3"
"sels";"11044";"Sel au céleri";"49";"1.81";"4.14";"2.53";"0";"0";"1.19";"87.5";"35000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"aides culinaires";"11045";"Levure de boulanger déshydratée";"341";"42.7";"14.3";"6.56";"0";"1";"26.9";"0.13";"51";"30";"2.17";"54";"955";"7.94";"0";"0";"11";"4";"40.2";"13.5";"0.07";"5.08"
"aides culinaires";"11046";"Levure chimique ou poudre à lever";"108";"0.1";"26.9";"0";"0";"0";"0.2";"0";"9250";"6620";"11.1";"33";"12.5";"0.015";"0";"0";"0";"0";"0";"0";"0";"4.5"
"épices";"11048";"Noix de muscade";"506";"5.84";"27.4";"36.3";"2.99";"25.9";"20.8";"0.04";"16";"184";"3.04";"183";"350";"2.15";"0";"0";"0.35";"0.057";"1.3";"0";"0";"6.23"
"épices";"11049";"Paprika, poudre";"318";"14.1";"18.8";"12.9";"10.3";"2.14";"34.9";"0.17";"68";"229";"21.1";"178";"2280";"4.33";"0";"0";"0.33";"1.23";"10.1";"2.51";"0";"11.2"
"herbes";"11050";"Estragon, séché";"342";"22.8";"42.8";"7.24";"0";"1.88";"7.4";"0.16";"62";"1140";"32.3";"347";"3020";"3.9";"0";"0";"0.25";"1.34";"8.95";"0";"0";"7.74"
"sauces";"11051";"Sauce tartare, préemballée";"500";"0.92";"5.11";"52.7";"3.32";"4.39";"0.34";"2.06";"799";"15";"0.32";"3.9";"54";"0.16";"0.25";"0";"0.019";"0.015";"0.1";"0.22";"0.31";"37.1"
"épices";"11052";"Clou de girofle";"335";"5.97";"31.6";"13";"2.38";"3.95";"33.9";"0.69";"277";"632";"11.8";"259";"1020";"2.32";"0";"0";"0.16";"0.22";"1.56";"0.51";"0";"9.87"
"épices";"11053";"Laurier, feuille";"353";"7.61";"48.6";"8.36";"48.6";"2.28";"26.3";"0.058";"23";"834";"43";"120";"529";"3.7";"0";"1.79";"0.009";"0.42";"2.01";"0";"0";"5.44"
"sauces";"11054";"Mayonnaise (70% MG min.), préemballée";"692";"1.33";"3.41";"74.5";"1.2";"6.76";"0.26";"1.4";"552";"17.6";"0.34";"6.42";"28.1";"0.13";"0.5";"47.9";"0.04";"0.04";"0.14";"0.23";"0.39";"18.1"
"condiments";"11055";"Oignon au vinaigre";"0";"0.6";"2.5";"0.15";"2.5";"0";"1.8";"1.19";"458";"24";"0.4";"12";"110";"0";"0";"0";"0.03";"0.03";"0.2";"0";"0";"93"
